type,timestamp_ms,dist_m,anchor_addr,anchor_x,anchor_y,anchor_z,quality,rssi_dbm,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temp_c,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,confidence,pos_valid,imu_enable
IMU,4852,,,,,,,,4.9450,-4.9451,2.3935,8.7181,-8.7171,-8.7189,0.00,,,,,,,,,
IMU,4853,,,,,,,,4.9450,-4.9451,2.3935,8.7181,-8.7171,-8.7189,0.00,,,,,,,,,
IMU,4854,,,,,,,,4.9450,-4.9451,2.3935,8.7181,-8.7171,-8.7189,0.00,,,,,,,,,
IMU,4855,,,,,,,,4.9450,-4.9451,2.3935,8.7181,-8.7171,-8.7189,0.00,,,,,,,,,
IMU,4856,,,,,,,,4.9481,-4.9409,2.3979,8.7181,-8.7176,-8.7189,0.00,,,,,,,,,
IMU,4858,,,,,,,,4.9481,-4.9409,2.3979,8.7181,-8.7176,-8.7189,0.00,,,,,,,,,
IMU,4859,,,,,,,,4.9481,-4.9409,2.3979,8.7181,-8.7176,-8.7189,0.00,,,,,,,,,
IMU,4860,,,,,,,,4.9456,-4.9405,2.3988,8.7179,-8.7179,-8.7187,0.00,,,,,,,,,
IMU,4861,,,,,,,,4.9456,-4.9405,2.3988,8.7179,-8.7179,-8.7187,0.00,,,,,,,,,
IMU,4862,,,,,,,,4.9456,-4.9405,2.3988,8.7179,-8.7179,-8.7187,0.00,,,,,,,,,
IMU,4863,,,,,,,,4.9456,-4.9405,2.3988,8.7179,-8.7179,-8.7187,0.00,,,,,,,,,
IMU,4865,,,,,,,,4.9456,-4.9405,2.3988,8.7179,-8.7179,-8.7187,0.00,,,,,,,,,
IMU,4866,,,,,,,,4.9445,-4.9378,2.3979,8.7176,-8.7181,-8.7184,0.00,,,,,,,,,
IMU,4867,,,,,,,,4.9430,-4.9409,2.3974,8.7176,-8.7184,-8.7184,0.00,,,,,,,,,
IMU,4868,,,,,,,,4.9430,-4.9409,2.3974,8.7176,-8.7184,-8.7184,0.00,,,,,,,,,
IMU,4869,,,,,,,,-0.0054,-0.0542,9.7551,8.7176,-8.7184,-8.7184,0.00,,,,,,,,,
IMU,4870,,,,,,,,-0.0073,-0.0584,9.7540,8.7176,-8.7187,-8.7181,0.00,,,,,,,,,
IMU,4872,,,,,,,,-0.0073,-0.0584,9.7540,8.7176,-8.7187,-8.7181,0.00,,,,,,,,,
IMU,4873,,,,,,,,-0.0073,-0.0584,9.7540,8.7176,-8.7187,-8.7181,0.00,,,,,,,,,
IMU,4874,,,,,,,,-0.0073,-0.0584,9.7540,8.7176,-8.7187,-8.7181,0.00,,,,,,,,,
IMU,4875,,,,,,,,-0.0073,-0.0584,9.7540,8.7176,-8.7187,-8.7181,0.00,,,,,,,,,
IMU,4876,,,,,,,,-0.0145,-0.0617,9.7554,8.7187,-8.7184,-8.7181,0.00,,,,,,,,,
IMU,4878,,,,,,,,-0.0145,-0.0617,9.7554,8.7187,-8.7184,-8.7181,0.00,,,,,,,,,
