type,timestamp_ms,dist_m,anchor_addr,anchor_x,anchor_y,anchor_z,quality,rssi_dbm,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temp_c,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,confidence,pos_valid,imu_enable
IMU,5222,,,,,,,,0.0352,-0.0584,9.7546,-0.0003,-0.0011,-0.0011,7.28,,,,,,,,,
IMU,5241,,,,,,,,0.0434,-0.0579,9.7500,0.0000,-0.0008,-0.0011,7.28,,,,,,,,,
IMU,5259,,,,,,,,0.0299,-0.0705,9.7572,-0.0005,-0.0011,-0.0005,7.28,,,,,,,,,
IMU,5277,,,,,,,,0.0404,-0.0537,9.7443,-0.0008,-0.0016,-0.0008,7.28,,,,,,,,,
IMU,5295,,,,,,,,0.0406,-0.0627,9.7528,-0.0003,-0.0011,-0.0005,7.28,,,,,,,,,
IMU,5314,,,,,,,,0.0401,-0.0630,9.7578,-0.0003,-0.0005,-0.0011,7.28,,,,,,,,,
IMU,5348,,,,,,,,0.0504,-0.0558,9.7558,0.0005,-0.0008,-0.0008,7.28,,,,,,,,,
IMU,5398,,,,,,,,0.0452,-0.0558,9.7473,-0.0005,-0.0005,-0.0008,7.28,,,,,,,,,
IMU,5448,,,,,,,,0.0473,-0.0695,9.7600,-0.0003,-0.0011,-0.0019,7.28,,,,,,,,,
IMU,5498,,,,,,,,0.0392,-0.0639,9.7536,0.0003,-0.0013,-0.0011,7.28,,,,,,,,,
IMU,5549,,,,,,,,0.0302,-0.0564,9.7455,-0.0003,-0.0013,-0.0011,7.28,,,,,,,,,
IMU,5599,,,,,,,,0.0394,-0.0573,9.7542,0.0000,-0.0005,-0.0003,7.28,,,,,,,,,
IMU,5649,,,,,,,,0.0530,-0.0476,9.7543,-0.0003,-0.0008,-0.0011,7.28,,,,,,,,,
IMU,5699,,,,,,,,0.0401,-0.0751,9.7503,-0.0008,-0.0003,-0.0016,7.28,,,,,,,,,
IMU,5749,,,,,,,,0.0528,-0.0701,9.7518,0.0005,0.0003,0.0000,7.28,,,,,,,,,
IMU,5799,,,,,,,,0.0296,-0.0251,9.7519,0.0000,-0.0011,-0.0011,7.28,,,,,,,,,
IMU,5850,,,,,,,,0.0334,-0.0719,9.7593,-0.0005,-0.0013,-0.0003,7.28,,,,,,,,,
